ticker,rows,status
AEFES.IS,5695,used
AGHOL.IS,5990,used
AHGAZ.IS,919,used
AKBNK.IS,5748,used
AKCNS.IS,5745,used
AKFGY.IS,3921,used
AKFYE.IS,865,used
AKSA.IS,6350,used
AKSEN.IS,4174,used
ALARK.IS,6762,used
ALBRK.IS,4906,used
ALFAS.IS,947,used
ARCLK.IS,6762,used
ASELS.IS,6762,used
ASTOR.IS,902,used
BERA.IS,3519,used
BIENY.IS,822,used
BIMAS.IS,5408,used
BRSAN.IS,5704,used
BRYAT.IS,5704,used
BUCIM.IS,5739,used
CANTE.IS,1333,used
CCOLA.IS,6763,used
CIMSA.IS,5727,used
CWENE.IS,829,used
DOAS.IS,5691,used
DOHOL.IS,6762,used
ECILC.IS,5684,used
ECZYT.IS,6762,used
EGEEN.IS,6762,used
ENJSA.IS,2160,used
ENKAI.IS,5717,used
EREGL.IS,5695,used
EUPWR.IS,841,used
EUREN.IS,1059,used
FROTO.IS,6690,used
GARAN.IS,6762,used
GENIL.IS,1271,used
GLYHO.IS,5548,used
GUBRF.IS,6762,used
HALKB.IS,4941,used
HEKTS.IS,6762,used
IMASM.IS,1083,used
ISCTR.IS,4779,used
ISDMR.IS,2648,used
ISMEN.IS,4934,used
IZMDC.IS,6762,used
KARSN.IS,6762,used
KAYSE.IS,823,used
KCAER.IS,1043,used
KCHOL.IS,5704,used
KMPUR.IS,1083,used
KONYA.IS,5704,used
KORDS.IS,6762,used
KRDMD.IS,6762,used
KZBGY.IS,1267,used
MAVI.IS,2331,used
MGROS.IS,5711,used
MIATK.IS,1196,used
ODAS.IS,3392,used
OTKAR.IS,6760,used
OYAKC.IS,6525,used
PENTA.IS,1323,used
PETKM.IS,6762,used
PGSUS.IS,3349,used
QUAGR.IS,1346,used
SAHOL.IS,5713,used
SASA.IS,6763,used
SISE.IS,5682,used
SKBNK.IS,6762,used
SMRTG.IS,1109,used
SOKM.IS,2089,used
TAVHL.IS,4994,used
TCELL.IS,5689,used
THYAO.IS,6762,used
TKFEN.IS,4804,used
TOASO.IS,6762,used
TSKB.IS,6762,used
TTKOM.IS,4683,used
TTRAK.IS,5695,used
TUKAS.IS,6763,used
TUPRS.IS,6495,used
ULKER.IS,5682,used
VAKBN.IS,5319,used
VESBE.IS,5210,used
YEOTK.IS,1256,used
YKBNK.IS,6762,used
YYLGD.IS,1071,used
ZOREN.IS,6750,used
IPEKE.IS,,no_cache_file
KOZAA.IS,,no_cache_file
KOZAL.IS,,no_cache_file
